,Unnamed: 0,id,title,body,link,rating,verified_purchase,helpful_votes,year,month,version,bd_cleaned,sw_removed,stemmed
0,0,R22L770J97II2V,Works Great,Have one on all my TVs. These work great,https://www.amazon.com/gp/customer-reviews/R22L770J97II2V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,5,True,,2022,2,O.S.10.5,have one on all my tvs these work great,one tvs work great,one tv work great
1,1,R1MP323KTI5HQ6,Para venezuela no permite gran parte de los canales,Para venezuela no permite gran parte de los canales,https://www.amazon.com/gp/customer-reviews/R1MP323KTI5HQ6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,3,True,,2022,2,O.S.10.5,i currently have a roku connected to my rca white red yellow compatible television the roku device is entering obsoletion and no longer supported by some channels like amazon i was hoping to get the roku ultra to work by using an hdmi to rca cable but the device would not transmit a visual signal to my tv the lights on the roku ulta were very responsive to the remote so i assume the device would have worked on an hdmi tv in case you re wondering i m not throwing away a good tube television from if anyone knows a method i missed to make this work please share,currently connected rca white red yellow compatible television device entering obsoletion longer supported channels like hoping get ultra work using hdmi rca cable device would transmit visual signal lights ulta responsive remote assume device would worked hdmi case wondering throwing away good tube television anyone knows method missed make work please share,current connect rca white red yellow compat televis devic enter obsolet longer support channel like hope get ultra work use hdmi rca cabl devic would transmit visual signal light ulta respons remot assum devic would work hdmi case wonder throw away good tube televis anyon know method miss make work pleas share
2,2,R3GB0L16XU6TVM,Roku Ultra Cannot Downshift to from HDMI to RCA with adapters,"I currently have a Roku 2 connected to my RCA (white, red, yellow) compatible television. The Roku 2 device is entering obsoletion and no longer supported by some channels, like Amazon. I was ""hoping"" to get the Roku Ultra to work by using an HDMI to RCA cable, but the device would not transmit a visual signal to my TV. The lights on the Roku Ulta were very responsive to the remote, so I assume the device would have worked on an HDMI TV. In case you're wondering, I'm not throwing away a good 36"" tube television from 2006! :-) If anyone knows a method I missed to make this work, please share.",https://www.amazon.com/gp/customer-reviews/R3GB0L16XU6TVM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,3,False,,2022,2,O.S.10.5,this will boot up but has a difficult time connecting to the remote mot of the time it won t it also has to be rebooted more than once to get the audio to work correctly i tried multiple new removes still doesn t work do not buy the roku ultra buy only the basic,boot difficult time connecting remote mot time also rebooted get audio work correctly tried multiple new removes still work buy ultra buy basic,boot difficult time connect remot mot time also reboot get audio work correctli tri multipl new remov still work buy ultra buy basic
3,3,RSVLH2L5597IT,Does not work as designed,This will boot up but has a difficult time connecting to the remote. Mot of the time it won't. It also has to be rebooted more than once to get the audio to work correctly. I tried multiple new removes still doesn't work. DO NOT buy the ROKU Ultra. Buy only the basic!,https://www.amazon.com/gp/customer-reviews/RSVLH2L5597IT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,1,True,,2022,2,O.S.10.5,i am satisfied with this product as it allows me to view all the programs i wish to easily i did note that after i purchased it shortly before christmas roku put it on sale for less than half the price i think i ll wait to check for sales at holiday times otherwise i am definitely happy with it,satisfied product allows view programs wish easily note purchased shortly christmas put sale less half price think wait check sales holiday times otherwise definitely happy,satisfi product allow view program wish easili note purchas shortli christma put sale less half price think wait check sale holiday time otherwis definit happi
4,4,R2MB38NK8FFMHN,Great product!,"I am satisfied with this product as it allows me to view all the programs I wish to easily. I did note that after I purchased it, shortly before Christmas, ROKU put it on sale for less than half the price! I think I'll wait to check for sales at holiday times. Otherwise, I am definitely happy with it.",https://www.amazon.com/gp/customer-reviews/R2MB38NK8FFMHN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,5,True,,2022,2,O.S.10.5,when you hit the power button to turn off the device it will never turn off and once the tv is back activated the picture will be totally zoomed in and the only way to get the right crop back is to go through the tons of menus to restart the device with all these problems noted they should have made it easy to restart the roku without having to suffer through menus of hell it be better to use tv usb power i used the power adapter one star the roku built in tcl tvs are better,hit power button turn device never turn back activated picture totally zoomed way get right crop back go tons menus restart device problems noted made easy restart without suffer menus hell better use usb power used power adapter one star built tcl tvs better,hit power button turn devic never turn back activ pictur total zoom way get right crop back go ton menu restart devic problem note made easi restart without suffer menu hell better use usb power use power adapt one star built tcl tv better
5,5,R3BEB66EHZ4GXV,They Dont Tell You This In The Description,When you hit the POWER button to turn off the device it will never turn off and once the tv is back activated the picture will be totally zoomed in and the only way to get the right crop back is to go through the tons of menus to restart the device. with all these problems noted they should have made it easy to restart the ROKU without having to suffer through menus of hell. It 05be better to use tv usb power i used the power adapter. One star the Roku built in TCL tvs are better.,https://www.amazon.com/gp/customer-reviews/R3BEB66EHZ4GXV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,2,True,,2022,2,O.S.10.5,cut the chord on cable tv the roku live tv gives hundreds of free channels that are usually on cable the processor opens and controls apps very fast awesome service wish the remote had lights however most generic remotes are now programmed to work with roku,cut chord cable live gives hundreds free channels usually cable processor opens controls apps fast awesome service wish remote lights however generic remotes programmed work,cut chord cabl live give hundr free channel usual cabl processor open control app fast awesom servic wish remot light howev gener remot program work
6,6,RFXTX0TCFVOTS,Awesome Device,"Cut the chord on cable tv. The Roku live tv gives hundreds of free channels that are usually on cable. The processor opens and controls apps very fast. Awesome service. Wish the remote had lights, however most generic remotes are now programmed to work with Roku",https://www.amazon.com/gp/customer-reviews/RFXTX0TCFVOTS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,5,True,,2022,2,O.S.10.5,roku used to play neutral when it comes to streaming tv since they launched their own variation of various services such as showtime for roku there s been nothing but problems this includes complete shows or series missing from their variation of showtime as an example in addition this brand new unit struggles with k streaming on a variety of apps including disney i have gig internet service with basically a business quality network and it s still garbage with frame drops my year old nvidia shield in a variety of other units don t have the same problem this will likely be my last roku,used play neutral comes streaming since launched variation various services showtime nothing problems includes complete shows series missing variation showtime example addition brand new unit struggles k streaming variety apps including disney gig internet service basically business quality network still garbage frame drops year old nvidia shield variety units problem likely last,use play neutral come stream sinc launch variat variou servic showtim noth problem includ complet show seri miss variat showtim exampl addit brand new unit struggl k stream varieti app includ disney gig internet servic basic busi qualiti network still garbag frame drop year old nvidia shield varieti unit problem like last
7,7,R2D1F3LNUJT9MV,Probably last Roku I will own,"Roku used to play neutral when it comes to streaming TV. Since they launched their own variation of various services such as Showtime for Roku, there's been nothing but problems. This includes complete shows or series missing from their variation of Showtime as an example. In addition, this brand new unit struggles with 4K streaming on a variety of apps, including Disney. I have 1. Gig internet service with basically a business quality network and it's still garbage with frame drops. My 6-year-old Nvidia shield in a variety of other units don't have the same problem. This will likely be my last Roku.",https://www.amazon.com/gp/customer-reviews/R2D1F3LNUJT9MV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,3,True,,2022,2,O.S.10.5,why did i put off getting one of these i advise you to get one right now you will not regret it excellent interface easy to configure solid build quality it works the remote is right sized and right featured,put getting one advise get one right regret excellent interface easy configure solid build quality works remote right sized right featured,put get one advis get one right regret excel interfac easi configur solid build qualiti work remot right size right featur
8,8,R303QCG9BMZX3X,"Great, love this little thing","Why did I put off getting one of these? I advise you to get one, right now, you will not regret it. Excellent interface. Easy to configure. Solid build quality. It WORKS. The remote is right-sized and right-featured.",https://www.amazon.com/gp/customer-reviews/R303QCG9BMZX3X/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,5,True,,2022,2,O.S.10.5,got one for my s t tvs they can t get some apps i wanted this gets them all,got one tvs get apps wanted gets,got one tv get app want get
9,9,R36G3O3D5QR16C,Works Great,Got one for my s03t TVs. They can't get some apps I wanted. This gets them all,https://www.amazon.com/gp/customer-reviews/R36G3O3D5QR16C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,5,True,,2022,2,O.S.10.5,this product is just what it says and it located jw broadcast instantly and connected to it i have had problems in the past it good to see a product perform as it should,product says located jw broadcast instantly connected problems past good see product perform,product say locat jw broadcast instantli connect problem past good see product perform
